INFO 2023-04-26 11:38:52,168 Watching for file changes with StatReloader
INFO 2023-04-26 11:38:56,147 "GET / HTTP/1.1" 302 0
INFO 2023-04-26 11:38:56,178 "GET /accounts/login/?next=/ HTTP/1.1" 200 3989
INFO 2023-04-26 11:38:56,302 "GET /static/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 200 58582
INFO 2023-04-26 11:38:56,310 "GET /static/dist/js/jquery.formset.js HTTP/1.1" 200 13881
INFO 2023-04-26 11:38:56,320 "GET /static/plugins/toastr/toastr.min.js HTTP/1.1" 200 5253
INFO 2023-04-26 11:38:56,328 "GET /static/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js HTTP/1.1" 200 42395
INFO 2023-04-26 11:38:56,329 "GET /static/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 80704
INFO 2023-04-26 11:38:56,335 "GET /static/plugins/jquery/jquery.min.js HTTP/1.1" 200 88147
INFO 2023-04-26 11:38:56,336 "GET /static/dist/js/adminlte.js HTTP/1.1" 200 59416
INFO 2023-04-26 11:38:56,337 "GET /static/dist/css/login-page.css HTTP/1.1" 200 9064
INFO 2023-04-26 11:38:56,343 "GET /static/dist/css/adminlte.min.css HTTP/1.1" 200 686718
INFO 2023-04-26 11:38:56,344 "GET /static/dist/js/demo.js HTTP/1.1" 200 13042
INFO 2023-04-26 11:38:56,346 "GET /static/plugins/toastr/toastr.min.css HTTP/1.1" 200 6454
INFO 2023-04-26 11:38:56,347 "GET /static/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 200 19736
INFO 2023-04-26 11:38:56,396 "GET /static/dist/img/login.png HTTP/1.1" 200 445475
INFO 2023-04-26 11:38:56,525 "GET /static/plugins/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 79444
WARNING 2023-04-26 11:38:56,759 Not Found: /favicon.ico
INFO 2023-04-26 11:39:18,892 "POST /accounts/login/ HTTP/1.1" 200 4114
INFO 2023-04-26 11:39:31,843 "POST /accounts/login/ HTTP/1.1" 302 0
INFO 2023-04-26 11:39:31,867 "GET / HTTP/1.1" 200 9298
INFO 2023-04-26 11:39:31,962 "GET /static/plugins/Datatables/datatables.min.css HTTP/1.1" 200 25807
INFO 2023-04-26 11:39:31,998 "GET /static/plugins/Datatables/datatables.min.js HTTP/1.1" 200 2042927
INFO 2023-04-26 11:39:32,042 "GET /static/plugins/fontawesome-free/webfonts/fa-regular-400.woff2 HTTP/1.1" 200 13584
INFO 2023-04-26 11:42:23,256 "GET /student/list HTTP/1.1" 200 9954
